file_path,model_name,chi2,alpha,teff,logg,fsed,met,plot_color,plot_ms,plot_alpha
/home/dylan/Research/Models/SonoraDiamondback/t2100g1000nc_m0.0_co1.0.spec,t2100g1000nc_m0.0_co1.0.spec,36119.63455274982,1.8182489440795814e-22,2100.0,5.0,nc,0.0,xkcd:faded orange,P,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1100g316f8_m+0.5_co1.0.spec,t1100g316f8_m+0.5_co1.0.spec,39961.89806261232,2.564303470690553e-21,1100.0,4.5,8,0.5,xkcd:royal blue,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1900g3160f1_m0.0_co1.0.spec,t1900g3160f1_m0.0_co1.0.spec,27486.454367146034,3.45438804306891e-22,1900.0,5.5,1,0.0,xkcd:cherry,v,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2000g1000f3_m+0.5_co1.0.spec,t2000g1000f3_m+0.5_co1.0.spec,32971.28777097641,2.336918959641393e-22,2000.0,5.0,3,0.5,xkcd:robin's egg,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1500g1000f4_m0.0_co1.0.spec,t1500g1000f4_m0.0_co1.0.spec,17632.312216197504,1.0419142463884832e-21,1500.0,5.0,4,0.0,xkcd:navy green,P,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1700g100f2_m0.0_co1.0.spec,t1700g100f2_m0.0_co1.0.spec,23834.87592263061,5.648335153970979e-22,1700.0,4.0,2,0.0,xkcd:bright lavender,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2200g100f3_m0.0_co1.0.spec,t2200g100f3_m0.0_co1.0.spec,37142.27119048727,1.5373196073272951e-22,2200.0,4.0,3,0.0,xkcd:robin's egg,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1300g3160f8_m0.0_co1.0.spec,t1300g3160f8_m0.0_co1.0.spec,15887.062990447055,2.0779030222327035e-21,1300.0,5.5,8,0.0,xkcd:royal blue,v,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2300g100f3_m-0.5_co1.0.spec,t2300g100f3_m-0.5_co1.0.spec,39850.85716406195,1.2346742995648231e-22,2300.0,4.0,3,-0.5,xkcd:robin's egg,s,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1500g100f1_m+0.5_co1.0.spec,t1500g100f1_m+0.5_co1.0.spec,12628.97457666144,1.1741574489296183e-21,1500.0,4.0,1,0.5,xkcd:cherry,s,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1800g316f3_m-0.5_co1.0.spec,t1800g316f3_m-0.5_co1.0.spec,33617.77918538105,3.805220513068575e-22,1800.0,4.5,3,-0.5,xkcd:robin's egg,d,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2200g100f8_m0.0_co1.0.spec,t2200g100f8_m0.0_co1.0.spec,37128.3037970115,1.5278872826938715e-22,2200.0,4.0,8,0.0,xkcd:royal blue,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2000g1000f2_m0.0_co1.0.spec,t2000g1000f2_m0.0_co1.0.spec,32389.33029214523,2.5096203981843384e-22,2000.0,5.0,2,0.0,xkcd:bright lavender,P,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1800g1000f2_m0.0_co1.0.spec,t1800g1000f2_m0.0_co1.0.spec,26665.026402127663,4.270045771733772e-22,1800.0,5.0,2,0.0,xkcd:bright lavender,P,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1500g1000f8_m+0.5_co1.0.spec,t1500g1000f8_m+0.5_co1.0.spec,21089.035893478234,8.547793464829859e-22,1500.0,5.0,8,0.5,xkcd:royal blue,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t900g100f3_m0.0_co1.0.spec,t900g100f3_m0.0_co1.0.spec,36000.00223744215,8.401129282598926e-21,900.0,4.0,3,0.0,xkcd:robin's egg,s,0.666
